Name,BaseballRefID,Age,Position,Pos,Bats,Throws,Height,Weight,Season,Yrs,G,GS,Salary,Moneyball,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,WAR,WAR%,Movie Time,Movie%,Difference
Jim Mecir,mecirji01,32,Reliever,RP,B,R,"6' 1""",195,2002,8,61,0,"$2,366,667",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,6,4,0.6,4.26,61,0,10,0,0,1,67.2,68,36,32,5,29,4,53,4,1,4,304,102,3.82,1.433,9,0.7,3.9,7,1.83,0.2,0.4,0,0.0,-0.4
Frank Menechino,menecfr01,31,Hitter,2B,R,R,"5' 9""",175,2002,4,38,32,"$295,000",N,154,132,22,27,7,0,3,15,0,0,20,32,0.205,0.312,0.326,0.637,72,43,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0.0
Mark Mulder,muldema01,24,Starter,SP,L,L,"6' 6""",200,2002,3,30,30,"$800,000",N,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,19,7,0.731,3.47,30,30,0,2,1,0,207.1,182,88,80,21,55,3,159,11,1,7,862,125,3.7,1.143,7.9,0.9,2.4,6.9,2.89,4.6,8.7,0,0.0,-8.7
Greg Myers,myersgr01,36,Hitter,C,L,R,"6' 1""",200,2002,15,65,36,"$800,000",N,170,144,15,32,5,0,6,21,0,0,26,36,0.222,0.341,0.382,0.723,94,55,4,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.5,0,0.0,-1.5
Carlos Pena,penaca01,24,Hitter,1B,L,L,"6' 2""",225,2002,2,40,39,"$202,000",N,141,124,12,27,4,0,7,16,0,0,15,38,0.218,0.305,0.419,0.724,92,52,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.1,250,10.5,9.4
Adam Piatt,piattad01,26,Hitter,OF,R,R,"6' 2""",195,2002,3,55,35,,N,152,137,18,32,8,0,5,18,2,1,12,33,0.234,0.303,0.401,0.704,87,55,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0,0.0,-0.2
Ricardo Rincon,rincori01,32,Reliever,RP,L,L,"5' 10""",190,2002,6,25,0,,Y,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,3.1,25,0,3,0,0,1,20.1,11,7,7,1,3,0,19,0,0,0,72,142,2.18,0.689,4.9,0.4,1.3,8.4,6.33,0.5,0.9,163,6.9,5.9
Olmedo Saenz,saenzol01,31,Hitter,1B/3B,R,R,"6' 2""",185,2002,5,68,37,"$800,000",N,178,156,15,43,10,1,6,18,1,1,13,31,0.276,0.354,0.468,0.822,119,73,2,7,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.9,0,0.0,-0.9
Larry Sutton,suttola01,32,Hitter,UT,L,L,"5' 11""",175,2002,6,7,4,,N,20,19,3,2,0,0,1,3,0,0,1,8,0.105,0.15,0.263,0.413,8,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.6,2,0.1,0.7
Jeff Tam,tamje01,31,Reliever,RP,R,R,"6' 1""",202,2002,5,40,0,"$700,000",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,2,0.333,5.13,40,0,14,0,0,0,40.1,56,26,23,2,13,5,14,2,0,3,188,85,4.03,1.711,12.5,0.4,2.9,3.1,1.08,-0.1,-0.2,2,0.1,0.3
Miguel Tejada*,tejadmi01,28,Hitter,SS,R,R,"5' 9""",220,2002,6,162,161,"$3,625,000",N,715,662,108,204,30,0,34,131,7,2,38,84,0.308,0.354,0.508,0.861,128,336,21,11,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,10.6,112,4.7,-5.9
Randy Velarde,velarra01,39,Hitter,2B,R,R,"6' 0""",185,2002,16,56,32,"$1,000,000",N,155,133,22,30,8,0,2,8,3,0,15,32,0.226,0.325,0.331,0.656,77,44,4,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.4,0,0.0,0.4
Mike Venafro,venafmi01,28,Reliever,RP,L,L,"5' 10""",170,2002,4,47,0,"$812,500",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,2,2,0.5,4.62,47,0,8,0,0,0,37,45,22,19,5,14,2,16,2,0,1,168,95,5.15,1.595,10.9,1.2,3.4,3.9,1.14,0,0.0,91,3.8,3.8
Barry Zito*,zitoba01,24,Starter,SP,L,L,"6' 2""",205,2002,3,35,35,"$295,000",N,6,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,2,0,0,23,5,0.821,2.75,35,35,0,1,0,0,229.1,182,79,70,24,78,2,182,9,1,2,939,158,3.87,1.134,7.1,0.9,3.1,7.1,2.33,7.1,13.5,0,0.0,-13.5
Team Totals,,,,,,,,,,,,,,,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,106,2400,128,68,20,36,37,103,59,0.636,3.68,162,162,153,9,5,48,1452,1391,654,593,135,474,45,1021,62,9,40,6158,118,3.87,1.284,8.6,0.8,2.9,6.3,2.15,52.7,,2372,,
AL Rank,,,,,,,,,,,,,,,,9,8,9,12,10,4,,14,2,3,8,8,5,7,6,,7,,4,,13,,1,13,,1,,,,4,1,4,2,3,2,1,1,6,,7,,,,,,,,,,,,,,,,,
Batter Totals,,,,,,,,,,,,,,,6269,5540,799,1449,278,28,205,772,46,20,608,1000,0.262,0.34,0.433,0.773,106,2398,128,68,17,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcher Totals,,,,,,,,,,,,,,,22,18,1,1,1,0,0,0,0,0,1,8,0.056,0.105,0.111,0.216,-42,2,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
